"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/jakewharton/byteunits/BitUnit$3.toBits:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BitUnit$3.toKilobits:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BitUnit$3.toMegabits:(J)J","1","1","1","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"com/jakewharton/byteunits/BitUnit$3.toGigabits:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BitUnit$3.toTerabits:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BitUnit$3.toPetabits:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BitUnit$4.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","","","<init>","","","","1"
"com/jakewharton/byteunits/BitUnit$4.convert:(JLcom/jakewharton/byteunits/BitUnit;)J","1","2","2","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","BitUnit","","toGigabits","","","public","1"
"com/jakewharton/byteunits/BitUnit$4.toBytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BitUnit$4.toBits:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BitUnit$4.toKilobits:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BitUnit$4.toMegabits:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BitUnit$4.toGigabits:(J)J","1","1","1","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"com/jakewharton/byteunits/BitUnit$4.toTerabits:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BitUnit$4.toPetabits:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BitUnit$5.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","","","<init>","","","","1"
